":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"F客戶","維護紀錄","has","['reside in', 'owns', 'includes\nrelation: is located in\n\ncontained within', 'possess', 'situated at']","[]","Relation"
"處理工程師","A人員","is","['denote', 'represent', 'exist']","[]","Relation"
"A人員","F客戶","handled","['managed', 'address', 'tackle', 'dealt with']","[]","Relation"
"維護紀錄","splunk_銀行處12月月維護","covers","['contains', 'extends to\n\nrelation: is composed of\nyour answer:\ninvolves', 'encompasses', 'includes']","[]","Relation"
"授權用量","擴充","is","['denote', 'represent', 'exist']","[]","Relation"
"375 GB","建議擴充 -授權量","is the","['exemplifies', 'is an instance of', 'constitutes']","[]","Relation"
"splunk_銀行處12月月維護","伺服器效能","has","['reside in', 'owns', 'includes\nrelation: is located in\n\ncontained within', 'possess', 'situated at']","[]","Relation"
"系統優化建議","無","is","['denote', 'represent', 'exist']","[]","Relation"
"版本更新","最新版本","建議更","['advise towards', 'recommend change to']","[]","Relation"
"9.3.3/2025.02.26","當前版本","is the","['exemplifies', 'is an instance of', 'constitutes']","[]","Relation"
"10.0.2/2025.11.14","最新版本","is the","['exemplifies', 'is an instance of', 'constitutes']","[]","Relation"
"現行版本近期被掃出弱點","建議進行升版","is the","['exemplifies', 'is an instance of', 'constitutes']","[]","Relation"
"問題追蹤","無","is","['denote', 'represent', 'exist']","[]","Relation"
"處理工程師為 A人員 進行時間為 2025/12/26 15:00 至 2025/12/26 16:00","狀態描述 (Description): splunk_銀行處12月月維護","because","['result from', 'arise from', 'cause by', 'due to']","[]","Relation"
"現行版本近期被掃出弱點，建議進行升版","當前版本：9.3.3/2025.02.26 最新版本：10.0.2/2025.11.14","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"狀態描述 (Description): splunk_銀行處12月月維護","當前版本：9.3.3/2025.02.26 最新版本：10.0.2/2025.11.14","before","['precede', 'prior to', 'precede in time']","[]","Relation"
"This is a maintenance record for F客戶.","F客戶","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"Handling engineer A人員 processed the event during this time: 2025/12/26 15:00 to 2025/12/26 16:00.","A人員","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"The description of splunk_銀行處12月月維護 is given as the status.","splunk_銀行處12月月維護","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"It is recommended to update the current version 9.3.3/2025.02.26 for version 10.0.2/2025.11.14.","version 9.3.3","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"It is recommended to update the current version 9.3.3/2025.02.26 for version 10.0.2/2025.11.14.","version 10.0.2","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"B客戶","維護紀錄","is related to","['associate', 'link', 'connect']","[]","Relation"
"A人員","工程師","serves as","['function as', 'perform as', 'role of', 'act as']","[]","Relation"
"C人員","工程師","serves as","['function as', 'perform as', 'role of', 'act as']","[]","Relation"
"B客戶","A部門","is processed by","['be dealt with', 'be handled by', 'be transformed by', 'undergo treatment']","[]","Relation"
"B客戶","C部門","is processed by","['be dealt with', 'be handled by', 'be transformed by', 'undergo treatment']","[]","Relation"
"工程師","Splunk","performs task on","['handle', 'execute', 'conduct']","[]","Relation"
"A人員","Maintainer帳號權限","confirms","['verify', 'authenticate', 'validate']","[]","Relation"
"DEP02","服務確認","is confirmed by","['substantiate', 'verify', 'validate']","[]","Relation"
"A同事","IT部門","requests confirmation from","['need validation by', 'ask for approval from', 'seek verification from']","[]","Relation"
"B同事","API的IP申請單","submits","['deliver', 'present', 'send']","[]","Relation"
"SH KVstore引擎異常測試","測試環境","is tested in","['checked', 'assess', 'evaluate', 'examine']","[]","Relation"
"Splunk","LDAP驗證設定","has setting completed by","['background determined', 'environment finished by', 'context established by']","[]","Relation"
"The maintenance record is about B client.","There is a description of Splunk weekly onsite action.","because","['result from', 'arise from', 'cause by', 'due to']","[]","Relation"
"The processing engineers are A personnel and C personnel.","The maintenance record is about B client.","at the same time","['more than', 'coincide\nrelation: is greater than\n\nyour answer:\nexceeds', 'simultaneously', 'concurrently', 'surpasses']","[]","Relation"
"The processing time is from 2026/01/07 13:30 to 2026/01/07 17:30.","A personnel and C personnel are the processing engineers.","at the same time","['more than', 'coincide\nrelation: is greater than\n\nyour answer:\nexceeds', 'simultaneously', 'concurrently', 'surpasses']","[]","Relation"
"The Splunk weekly onsite action is described as 'Maintainer account permission confirmation'.","A personnel confirms that the role capability meets daily work requirements.","after","['succeed', 'post']","[]","Relation"
"The Splunk weekly onsite action is described as 'DEP02 service verification post-transfer'.","It is confirmed that the service is correct and the system functions normally after re-running the health check.","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"The Splunk weekly onsite action is described as 'PA report sending anomaly inspection'.","It is confirmed that Splunk has sent a report and recorded it in the cim_modactions index.","after","['succeed', 'post']","[]","Relation"
"A personnel asks IT department to confirm if exchange received the Splunk report.","The PA report sending anomaly inspection was completed.","because","['result from', 'arise from', 'cause by', 'due to']","[]","Relation"
"FISAC data storage is in progress.","B personnel applies for an IP usage API to FISAC.","at the same time","['more than', 'coincide\nrelation: is greater than\n\nyour answer:\nexceeds', 'simultaneously', 'concurrently', 'surpasses']","[]","Relation"
"SH KVstore engine abnormal test is in progress.","It is tested in a personal testing environment regarding the SH KVstore status..","after","['succeed', 'post']","[]","Relation"
"LDAP setting is completed for Splunk LDAP authentication setup.","There are several pending tasks.","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"A department confirmed the role capability of Maintainer account.","Maintainer","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"A department confirmed the role capability of Maintainer account.","A部門","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"A department confirmed the service of DEP02 after transfer.","DEP02","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"A department confirmed the service of DEP02 after transfer.","A部員","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"A department checked the abnormal report sending of PA and confirmed that Splunk sent the report to cim_modactions index","PA","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"A department checked the abnormal report sending of PA and confirmed that Splunk sent the report to cim_modactions index","Splunk","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"A department checked the abnormal report sending of PA and confirmed that Splunk sent the report to cim_modactions index","cim_modactions","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"A department checked the abnormal report sending of PA and confirmed that Splunk sent the report to cim_modactions index","IT部門","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"A department checked the abnormal report sending of PA and confirmed that Splunk sent the report to cim_modactions index","A同事","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"B department submitted an IP application form for API usage to FISAC.","FISAC","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"B department submitted an IP application form for API usage to FISAC.","API","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"B department submitted an IP application form for API usage to FISAC.","B部門","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"B department submitted an IP application form for API usage to FISAC.","B同事","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"B人員","C客戶","processed","['relation: is similar to\n            your answer: akin', 'done', 'analogous', 'handled', 'parallel', 'comparable', 'treated']","[]","Relation"
"Splunk駐點服務202601","FWD02磁碟用量異常處理","includes","['contain', 'possess', 'compose of', 'encompass', 'have']","[]","Relation"
"FWD02磁碟用量異常處理","estreamer 資料暴增","caused by","['triggered by', 'led to', 'originated from']","[]","Relation"
"FWD02磁碟用量異常處理","audit.log 持續累積","caused by","['triggered by', 'led to', 'originated from']","[]","Relation"
"FWD02磁碟用量異常處理","/var/log/messages-20251214","caused by","['triggered by', 'led to', 'originated from']","[]","Relation"
"estreamer 資料暴增","estreamer 處理","processed by","['undergo', 'be handled', 'be treated', 'address']","[]","Relation"
"rsyslog 轉送設定","FWD02磁碟用量異常處理","removed by","['disassociate from', 'cut out']","[]","Relation"
"clean.sh 資料留存區間","audit.log 處理","adjusted in","['modify to fit', 'adapt within', 'regulate for']","[]","Relation"
"audit 資料","FWD02磁碟用量異常處理","manually removed by","['physically eliminate', 'discard\nrelation: was created by\n\ndevelop', 'hand remove', 'produce']","[]","Relation"
"messages 暴增處理","/etc/cron.d/logrotate-syslog","included in","['comprise of', 'contain part of', 'made up of']","[]","Relation"
"處理工程師為 B人員.","狀態描述 (Description): Splunk駐點服務202601第一周(2026/1/5) 發生.","before","['precede', 'prior to', 'precede in time']","[]","Relation"
"處理工程師為 B人員.","FWD02磁碟用量達到超過90%.","at the same time","['more than', 'coincide\nrelation: is greater than\n\nyour answer:\nexceeds', 'simultaneously', 'concurrently', 'surpasses']","[]","Relation"
"狀態描述 (Description): Splunk駐點服務202601第一周(2026/1/5) 發生.","開始處理 FWD02磁碟用量異常.","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"FWD02磁碟用量達到超過90%.","estreamer 資料暴增.","because","['result from', 'arise from', 'cause by', 'due to']","[]","Relation"
"處理工程師為 B人員.","調整 clean.sh 資料留存區間.","after","['succeed', 'post']","[]","Relation"
"處理工程師為 B人員","B人員","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"處理工程師為 B人員","處理工程師","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"FWD02磁碟用量達到超過90%","FWD02磁碟","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"目前分析為以下三個原因導致 estreamer 資料暴增","estreamer 资料","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"目前分析為以下三個原因導致 estreamer 資料暴增","audit.log","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"目前分析為以下三個原因導致 estreamer 資料暴增","FCB147","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"目前分析為以下三個原因導致 estreamer 資料暴增","keep_logs","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"/var/log/messages-20251214 單一檔案達 148GB","/var/log/messages-20251214","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"estreamer 處理 移除 rsyslog 轉送設定","estreamer","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"estreamer 處理 移除 rsyslog 轉送設定","rsyslog","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"調整 clean.sh 資料留存區間","clean.sh","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"手動刪除 audit 資料","audit","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"刪除 148GB 的 messages-20251214 檔案","/var/log/messages-20251214","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"工程師","紀錄","處理","['handle', 'address', 'deal with', 'manage']","[]","Relation"
"A人員","工程師","是","['to be\n\nis']","[]","Relation"
"A人員","維護","進行","['carry out', 'execute', 'perform']","[]","Relation"
"紀錄","F客戶","關於","['about', 'concern', 'relate to']","[]","Relation"
"銀行處","維護","發生","['happen to', 'take place']","[]","Relation"
"銀行處","授權用量擴充","執行","['carry out']","[]","Relation"
"建議","版本","更新","['renew', '修改', 'refresh']","[]","Relation"
"This is a record of maintenance for F client.","The engineer A handled the case.","before","['precede', 'prior to', 'precede in time']","[]","Relation"
"Engineer A handled the case.","The duration was from 2025/12/26 15:00 to 2025/12/26 16:00.","at the same time","['more than', 'coincide\nrelation: is greater than\n\nyour answer:\nexceeds', 'simultaneously', 'concurrently', 'surpasses']","[]","Relation"
"This is a record of maintenance for F client.","The engineer A handled the case from 15:00 to 16:00 on 2025/12/26.","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"The current version is 9.3.3 released on 2025.02.26.","It was recently scanned for vulnerabilities.","because","['result from', 'arise from', 'cause by', 'due to']","[]","Relation"
"The current version is vulnerable to recent scans.","It is recommended to update to the newest version 10.0.2 released on 2025.11.14","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"This is a maintenance record for F客戶.","F客戶","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"工程師 A人員 handled the case from 2025/12/26 15:00 to 2025/12/26 16:00.","A人員","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"工程師 A人員 handled the case from 2025/12/26 15:00 to 2025/12/26 16:00.","F客戶","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"It is recommended to increase the authorized volume by 375 GB with an average usage of 1276GB.","F客戶","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"It is recommended to update the current version 9.3.3/2025.02.26 to the latest version 10.0.2/2025.11.14 due to security vulnerabilities.","F客戶","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"A人員","B客戶","進行處理","['handle', 'manage', 'process']","[]","Relation"
"C人員","B客戶","與進行處理","['handle', 'manage', 'process']","[]","Relation"
"A部分","Maintainer帳號權限","確認","['confirm', 'check', 'verify', 'validate']","[]","Relation"
"A部門","DEP02移轉後服務","確認","['confirm', 'check', 'verify', 'validate']","[]","Relation"
"A部門","PA報表寄送異常","檢查","['review', 'assess', 'inspect', 'examine']","[]","Relation"
"A同事","exchange是否有收到splunk報告","確認","['confirm', 'check', 'verify', 'validate']","[]","Relation"
"B部門","FISAC","提交需要使用API的IP申請單","['submit request\n\nsend application']","[]","Relation"
"B同事","SH KVstore引擎異常測試","測試個人的測試環境中SH 的KVstore狀態","[""i don't think i can provide an abstract relation for the given input.""]","[]","Relation"
"B部門","LDAP設定","完成splunk LDAP驗證設定","['implement', 'set up', 'configure']","[]","Relation"
"狀態描述 (Description): Splunk每週onsite 處置動作","處理工程師為 A人員,C人員 進行時間為 2026/01/07 13:30 至 2026/01/07 17:30","before","['precede', 'prior to', 'precede in time']","[]","Relation"
"這是一筆關於 B客戶 的維護紀錄","處理工程師為 A人員,C人員 進行時間為 2026/01/07 13:30 至 2026/01/07 17:30","before","['precede', 'prior to', 'precede in time']","[]","Relation"
"已確認角色能力可符合日常工作使用","A部門 1.Maintainer帳號權限確認 已確認角色能力可符合日常工作使用","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"已確認服務正確，並再次執行健康檢查確认系統功能正常","A部門 2.DEP02移轉後服務確認 已確認服務正確，並再次執行健康檢查確认系統功能正常","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"已請A同事向IT部門確認exchange是否有收到splunk報告","A部門 3.PA報表寄送異常檢查 已確認splunk有寄出報告並記錄於cim_modactions索引中，目前以請A同事向IT部門確認exchange是否有收到splunk報告","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"已請B同事 向FISAC提交需使用API的IP申請單","B部門 1.FISAC資料收容-進行中 目前已請B同事 向FISAC提交需使用API的IP申請單","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"正在個人的測試環境測試SH 的KVstore狀態中","B部門 2.SH KVstore引擎異常測試-進行中 正在個人的測試環境測試SH 的KVstore狀態中","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"已完成splunk LDAP驗證設定","B部門 3.LDAP設定 已完成splunk LDAP驗證設定","as a result","['consequence', 'effect', 'outcome', 'following']","[]","Relation"
"A部門進行了Maintainer帳號權限確認。","A人員","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
"A部門進行了Maintainer帳號權限確認。","C人員","is participated by","['hosted', 'involve', 'attended to']","[]","Relation"
