Name,Type
title(職稱),Entity
Checkpoint 資料收容,Entity
<SAP重要TCode執行紀錄>,Entity
Digital,Entity
Asset and Identity priority確認,Entity
202510第二周(2025/10/07),Entity
1398GB,Entity
2026/01/13 13:30 至 2026/01/13 17:30,Entity
Splunk每週onsite 處置,Entity
設計稽查結果,Entity
2027/12月,Entity
event,Entity
20GB,Entity
A staff,Entity
15.5%,Entity
action,Entity
datamodel dnsAMD,Entity
actions,Entity
B client,Entity
PWLAN,Entity
Apim1,Entity
Cybereyes API,Entity
intelligence,Entity
285GB,Entity
擴充,Entity
pice_logs,Entity
PA每月報表補寄,Entity
CVE-2024-9183,Entity
2025/11/24 12:00,Entity
Indexer,Entity
/var/log/messages-20251214,Entity
uf,Entity
CPU及磁碟用量,Entity
設備清單,Entity
132GB,Entity
正常,Entity
203.65GB,Entity
Linux主機使用者與使用者權限,Entity
<HTTPS大量傳輸告警>,Entity
Splunk 202510-12季維護,Entity
bugs,Entity
ARP_table報表補跑,Entity
整體正常,Entity
PA 每月Block Category報表,Entity
關閉Apim1,Entity
Trendmicro,Entity
<DNS_TUNNELING_單一來源查詢不同網域數量與DNS查詢次數超標>告警調整,Entity
splunk_信用卡處,Entity
設定檔備份腳本異常,Entity
services,Entity
latest version 10.0.2,Entity
新增DNS設定,Entity
問題,Entity
B client department,Entity
Splunk_10月維護,Entity
"A人員, C人員",Entity
Splunk角色能力異常,Entity
每月報表,Entity
clean.sh,Entity
DEP02移轉後服務,Entity
2025/12/31 13:30至17:40,Entity
升版,Entity
Centos,Entity
H2,Entity
CVE-2025-41244,Entity
C staff,Entity
維護記錄的進行時間,Entity
alert inventory,Entity
1.asa事件接收異常 問題：新增UDP接收來自172.20.137.45的asa事件，於搜尋頁面上卻查詢不到該IP事件 解決辦法：於indexer cluster上新增索引後部署至底下indexer，再次於SH上執行搜尋即可查詢事件,Entity
request,Entity
Cyble,Entity
SPLUNK內部與網頁憑證,Entity
2025/12/19 13:30,Entity
硬體狀態欄位,Entity
工程師,Entity
ess_analyst,Entity
版本,Entity
tasks,Entity
新增告警,Entity
/etc/cron.d/logrotate-syslog,Entity
cim_modactions,Entity
底層,Entity
task,Entity
C客戶,Entity
9.4.3,Entity
Calvin,Entity
10.0.1/2025.09.25,Entity
過期憑證,Entity
0.31GB,Entity
117.92 GB,Entity
10.0.2/2025.11.14,Entity
9.2.3,Entity
IDX01,Entity
SH FISAC API input,Entity
B staff,Entity
GeoDB,Entity
Splunk_12月維護,Entity
2025/12/30 17:00,Entity
E客戶,Entity
A部門,Entity
協助新增寄信套件,Entity
KVstore,Entity
processing engineer,Entity
記憶體,Entity
目的,Entity
version 9.4.3,Entity
比對結果,Entity
<F5VPN特定使用者連線的紀錄(ssp) 不含數位科技中心>,Entity
LDAP驗證設定,Entity
甲,Entity
SSH Server,Entity
on-site service,Entity
DLDK container NOT running,Entity
設定,Entity
A人員,Entity
API,Entity
FCB設定調整,Entity
2025/11/04 13:30至2025/11/04 17:30,Entity
geodb,Entity
今日到場作業項目,Entity
audit,Entity
2025/11/24 10:30,Entity
代辦事项,Entity
ssp,Entity
forcepoint endpoint dlp資料收容 Tcpdump,Entity
solution,Entity
Splunk Indexer queue,Entity
日誌轉發設定,Entity
第五周,Entity
2025/07/29 13:30 至 2025/07/29 17:00,Entity
IP網段設備報表確認,Entity
375 GB,Entity
Finding,Entity
case,Entity
IP申請單,Entity
健康狀況,Entity
服務,Entity
websense,Entity
IP whitelist,Entity
11月維護,Entity
Cybereyes API 串接,Entity
PA報表寄送異常,Entity
2.AI網站服務紀錄調閱 (202508-202510),Entity
problem,Entity
每日HTTP資料傳輸統計報表(m365),Entity
version 10.0.2,Entity
Splunk 2025 MA 07月定保.DM20250088_(3/12),Entity
keep_logs 設定,Entity
UDP,Entity
最新版本10.0.0 / 2025.07.28,Entity
system optimization suggestion,Entity
KV store 憑證效期,Entity
servers,Entity
自動化程式,Entity
ES,Entity
FISAC,Entity
2025/07/29 12:00 至 2025/07/29 13:00,Entity
DEP02,Entity
HTTPS,Entity
current version,Entity
james,Entity
時間 2025/11/24 11:30 至 2025/11/24 12:00,Entity
ES升版,Entity
SH KVstore引擎異常測試,Entity
建議擴充 -授權量,Entity
THREAT OBJECT,Entity
授權用量,Entity
audit 資料,Entity
FWD03,Entity
Splunk工作事項 - 0729,Entity
Splunk,Entity
<F5VPN特定使用者連線的紀錄(sas),Entity
版本更新,Entity
維護,Entity
2025/12/04 10:00,Entity
2025/12/02 17:30,Entity
imsdb01兩台UF關閉inputs至不存在的index,Entity
Center,Entity
B,Entity
H1,Entity
補跑設備IP往段清單給全科人員,Entity
IDX cluster節點,Entity
RES3SQL19,Entity
本周工作項目,Entity
authorization usage,Entity
IISLOG,Entity
relevant bugs,Entity
Engineer,Entity
ess_analyst 角色,Entity
2025下半年度告警盤點,Entity
設備狀態檢查,Entity
9.3.6/2025.07.31,Entity
90% space usage,Entity
E客戶駐點工作事項 - 20251104,Entity
Trendmicro host資料收容,Entity
IP event,Entity
預計本周五(11/14)與下周二(11/18),Entity
完成寄信測試,Entity
Tenable API App串接,Entity
磁碟用量暴增,Entity
FIsac,Entity
DNS Datamodel,Entity
indexer,Entity
DLDK container,Entity
90%,Entity
Cyble ASM,Entity
exchange是否有收到splunk報告,Entity
伺服器,Entity
100GB,Entity
17.10.8,Entity
web certificate,Entity
2025/11/05 13:30,Entity
Red Hat,Entity
forwarder,Entity
Splunk bundle儲存量過大,Entity
套件,Entity
2025/11/11,Entity
橘底標示設備名称,Entity
資產上傳APP程式調整,Entity
dashboard,Entity
Description,Entity
現行版本近期被掃出弱點,Entity
disk,Entity
磁碟,Entity
splunk_B客戶B部門,Entity
SASE VPN kick session報表建立,Entity
ocp_cdibh,Entity
A客戶,Entity
IDX02,Entity
作業系統弱點,Entity
G客戶,Entity
XSOAR,Entity
處理時間,Entity
2025/11/24,Entity
11/18,Entity
IP,Entity
A person,Entity
現有設備清單,Entity
Splunk November maintenance,Entity
授權使用量,Entity
PIMS search head,Entity
AI網站服務紀錄調閱儀表板建置,Entity
待完成工作項目,Entity
伺服器效能檢查,Entity
delay,Entity
pending tasks,Entity
IT部門,Entity
報廢/營運中欄位,Entity
ES版本升級,Entity
forcepoint endpoint dlp,Entity
格式,Entity
GCP報表User欄位,Entity
path permissions,Entity
維護記錄,Entity
授權用量擴充,Entity
2025/03/14 09:00,Entity
系統日誌分析,Entity
Splunk 2025 MA,Entity
SPLUNK,Entity
2025/12/12 13:30 to 2025/12/12 17:30,Entity
Splunk駐點服務20251226,Entity
2025/12/09 13:30,Entity
vulnerabilities,Entity
搜尋異常,Entity
staff,Entity
建議,Entity
E client,Entity
Splunk駐點服務20251226 - websense 斷行確認,Entity
Splunk駐點服務202510第四周,Entity
FISAC API input,Entity
處置動作,Entity
SASE VPN,Entity
排程重新執行,Entity
Splunk駐點服務202601,Entity
維護報告,Entity
駐點工作,Entity
maintenance report check,Entity
VMware Tools,Entity
bucket replication,Entity
IDX cluster,Entity
DC_ARP_table報表,Entity
ARP_table報表,Entity
全科同仁,Entity
告警盤點,Entity
GitLab,Entity
Splunk駐點服務202511第二周(2025/11/11),Entity
Red Hat 9.4,Entity
2025/12/23 09:00至2025/12/23 18:00,Entity
FCB,Entity
2025/11/11 17:00,Entity
凱壽全科人員,Entity
告警語法,Entity
E客戶駐點工作事項 - 20251218,Entity
使用底層,Entity
Maintainer,Entity
FCB147,Entity
修改SASE VPN登入成功報表條件,Entity
Average usage,Entity
monthly maintenance,Entity
FWD03 底層資料收容 filter 設定,Entity
Cybereyes介接套件,Entity
Gitlab漏洞修補 18.5.4 -> 18.5.5,Entity
admin,Entity
2025/12/02 13:30,Entity
Raw data,Entity
DM20250088,Entity
2025/12/04 10:00 to 2025/12/04 10:30,Entity
SASE,Entity
You,Entity
狀態,Entity
