":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"A人員","F客戶","處理","['deal with', 'manage', 'handle', 'process', 'tackle']","[]","Relation"
"2025/12/26 15:00 至 2025/12/26 16:00","維護","進行","['proceed with', 'conduct', 'carry out']","[]","Relation"
"splunk_銀行處","12月月維護","維護內容","['maintain', 'preserve', 'conserve', 'protect']","[]","Relation"
"9.3.3/2025.02.26","系統版本","當前版本","['contain', 'consist of', 'be included in']","[]","Relation"
"10.0.2/2025.11.14","系統版本","最新版本","['version', 'revise', 'update']","[]","Relation"
"處理工程師為 A人員 進行時間為 2025/12/26 15:00 至 2025/12/26 16:00","狀態描述 (Description): splunk_銀行處12月月維護","at the same time","['concur', 'simultaneously', 'coincide']","[]","Relation"
"狀態描述 (Description): splunk_銀行處12月月維護","處置動作 (Action): 1.授權用量 : 建議擴充 -授權量 : 375 GB -平均授權使用量 : 1276GB","includes","['comprises', 'contains', 'features']","[]","Relation"
"狀態描述 (Description): splunk_銀行處12月月維護","處置動作 (Action): 2.伺服器效能 : 無","includes","['comprises', 'contains', 'features']","[]","Relation"
"狀態描述 (Description): splunk_銀行處12月月維護","處置動作 (Action): 3.系統優化建議 : 無","includes","['comprises', 'contains', 'features']","[]","Relation"
"狀態描述 (Description): splunk_銀行處12月月維護","處置動作 (Action): 4.版本更新 : 建議更新 當前版本：9.3.3/2025.02.26 最新版本：10.0.2/2025.11.14","includes","['comprises', 'contains', 'features']","[]","Relation"
"處置動作 (Action): 4.版本更新 : 建議更新 當前版本：9.3.3/2025.02.26 最新版本：10.0.2/2025.11.14","處置動作 (Action): 5.問題追蹤：無","because","['due to', 'caused by', 'result from']","[]","Relation"
"處理工程師為 A人員 進行維護工作","A人員","is participated by","['participate', 'include', 'involve']","[]","Relation"
"處理工程師為 A人員 進行維護工作","處理工程師","is participated by","['participate', 'include', 'involve']","[]","Relation"
"建議擴充 -授權量 : 375 GB -平均授權使用量 : 1276GB","F客戶","is participated by","['participate', 'include', 'involve']","[]","Relation"
"版本更新 : 建議更新 當前版本：9.3.3/2025.02.26 最新版本：10.0.2/2025.11.14","F客戶","is participated by","['participate', 'include', 'involve']","[]","Relation"
"A人員","時間為2026/01/07 13:30 至 2026/01/07 17:30","進行了","['conducted', 'performed', 'carry out']","[]","Relation"
"C人員","時間為2026/01/07 13:30 至 2026/01/07 17:30","進行了","['conducted', 'performed', 'carry out']","[]","Relation"
"Splunk","動作","每周onsite","['on-site', 'weekly', 'present']","[]","Relation"
"A部門","Maintainer帳號權限確認","確認了","['checked', 'confirmed', 'verified']","[]","Relation"
"A部門","服務正確，並再次執行健康檢查確認系統功能正常","已確認","['confirmed', 'validated', 'verified']","[]","Relation"
"Splunk","報告","發出","['release', 'give off', 'emit']","[]","Relation"
"B部门同事","需使用API的IP申請單","提交","['report', 'hand in', 'submit']","[]","Relation"
"SH KVstore引擎","進行中","測試中","['test run', 'be tested', 'test mode', 'under test']","[]","Relation"
"splunk LDAP","已完成驗證","設定","['set', 'establish', 'define', 'configure']","[]","Relation"
"Maintainer帳號權限確認 已確認角色能力可符合日常工作使用。","DEP02移轉後服務確認 已確認服務正確，並再次執行健康檢查確認系統功能正常。","at the same time","['concur', 'simultaneously', 'coincide']","[]","Relation"
"Splunk每週onsite 處置動作","Maintainer帳號權限確認 已確認角色能力可符合日常工作使用。","before","['happen earlier', 'occur prior to', 'precede']","[]","Relation"
"DEP02移轉後服務確認 已確認服務正確，並再次執行健康檢查確認系統功能正常。","Maintainer帳號權限確認 已確認角色能力可符合日常工作使用。","after","['come next', 'occur later', 'follow']","[]","Relation"
"FISAC資料收容-進行中 目前已請B同事 向FISAC提交需使用API的IP申請單。","SH KVstore引擎異常測試-進行中 正在個人的測試環境測試SH 的KVstore狀態中。","at the same time","['concur', 'simultaneously', 'coincide']","[]","Relation"
"DEP02移轉後服務確認 已確已確認服務正確，並再次執行健康檢查確認系統功能正常。","B部門 1.FISAC資料收容-進行中 目前已請B同事 向FISAC提交需使用API的IP申請單。","before","['happen earlier', 'occur prior to', 'precede']","[]","Relation"
"SH KVstore引擎異常測試-進行中 正在個人的測試環境測試SH 的KVstore狀態中。","B部門 1.FISAC資料收容-進行中 目前已請B同事 向FISAC提交需使用API的IP申請單。","at the same time","['concur', 'simultaneously', 'coincide']","[]","Relation"
"Splunk LDAP驗證設定 已完成splunk LDAP驗證設定","DEP02移轉後服務確認 已確認服務正確，並再次執行健康檢查確認系統功能正常。","at the same time","['concur', 'simultaneously', 'coincide']","[]","Relation"
"PA報表寄送異常檢查 已確認splunk有寄出報告並記錄於cim_modactions索引中，目前以請A同事向IT部門確認exchange是否有收到splunk報告。","Splunk LDAP驗證設定 已完成splunk LDAP驗證設定","before","['happen earlier', 'occur prior to', 'precede']","[]","Relation"
"A人员, C人员为B客户进行维护","A人员","is participated by","['participate', 'include', 'involve']","[]","Relation"
"A人员, C人员为B客户进行维护","C人员","is participated by","['participate', 'include', 'involve']","[]","Relation"
"A人员, C人员为B客户进行维护","B客户","is participated by","['participate', 'include', 'involve']","[]","Relation"
"A部门确认Maintainer账户权限","A部门","is participated by","['participate', 'include', 'involve']","[]","Relation"
"DEP02转移后服务确认","DEP02","is participated by","['participate', 'include', 'involve']","[]","Relation"
"已确认Splunk有寄出报告并记录于cim_modactions索引中，目前请A同事向IT部门确认exchange是否有收到Splunk报告","A同事","is participated by","['participate', 'include', 'involve']","[]","Relation"
"已确认Splunk有寄出报告并记录于cim_modactions索引中，目前请A同事向IT部门确认exchange是否有收到Splunk报告","IT部门","is participated by","['participate', 'include', 'involve']","[]","Relation"
"B部门进行FISAC资料收容-进行中","B部门","is participated by","['participate', 'include', 'involve']","[]","Relation"
"请B同事向FISAC提交需使用API的IP申请单","B同事","is participated by","['participate', 'include', 'involve']","[]","Relation"
"请B同事向FISAC提交需使用API的IP申请单","FISAC","is participated by","['participate', 'include', 'involve']","[]","Relation"
"B部门进行SH KVstore引擎异常测试-进行中","B部门","is participated by","['participate', 'include', 'involve']","[]","Relation"
"LDAP设置已完成Splunk LDAP验证设置","LDAP","is participated by","['participate', 'include', 'involve']","[]","Relation"
"LDAP设置已完成Splunk LDAP验证设置","Splunk","is participated by","['participate', 'include', 'involve']","[]","Relation"
"B人員","C客戶","處理","['deal with', 'manage', 'handle', 'process', 'tackle']","[]","Relation"
"2026/01/05 13:30 至 2026/01/05 17:30","B人員","進行","['proceed with', 'conduct', 'carry out']","[]","Relation"
"FWD02磁碟","本周工作項目","處理異常","['manage', 'handle', 'deal with', 'process']","[]","Relation"
"FCB147的keep_logs","audit.log持續累積","導致","['result in', 'cause', 'lead to']","[]","Relation"
"messages-20251214檔案","釋放空間","刪除","['delete', 'erase', 'remove']","[]","Relation"
