:START_ID,:END_ID,:TYPE
A人員,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
F客戶,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
2025/12/26 15:00 至 2025/12/26 16:00,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
維護,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
splunk_銀行處,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
12月月維護,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
9.3.3/2025.02.26,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
系統版本,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
10.0.2/2025.11.14,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
處理工程師為 A人員 進行時間為 2025/12/26 15:00 至 2025/12/26 16:00,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
狀態描述 (Description): splunk_銀行處12月月維護,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
處置動作 (Action): 1.授權用量 : 建議擴充 -授權量 : 375 GB -平均授權使用量 : 1276GB,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
處置動作 (Action): 2.伺服器效能 : 無,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
處置動作 (Action): 3.系統優化建議 : 無,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
處置動作 (Action): 4.版本更新 : 建議更新 當前版本：9.3.3/2025.02.26 最新版本：10.0.2/2025.11.14,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
處置動作 (Action): 5.問題追蹤：無,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
處理工程師為 A人員 進行維護工作,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
處理工程師,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
建議擴充 -授權量 : 375 GB -平均授權使用量 : 1276GB,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
版本更新 : 建議更新 當前版本：9.3.3/2025.02.26 最新版本：10.0.2/2025.11.14,ea41dd825a348d42cac947448c5e12d19f0b7cc221562512a73e25b2e0c03d7e,Source
時間為2026/01/07 13:30 至 2026/01/07 17:30,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
C人員,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
Splunk,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
動作,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
A部門,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
Maintainer帳號權限確認,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
服務正確，並再次執行健康檢查確認系統功能正常,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
報告,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
B部门同事,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
需使用API的IP申請單,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
SH KVstore引擎,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
進行中,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
splunk LDAP,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
已完成驗證,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
Maintainer帳號權限確認 已確認角色能力可符合日常工作使用。,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
DEP02移轉後服務確認 已確認服務正確，並再次執行健康檢查確認系統功能正常。,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
Splunk每週onsite 處置動作,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
FISAC資料收容-進行中 目前已請B同事 向FISAC提交需使用API的IP申請單。,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
SH KVstore引擎異常測試-進行中 正在個人的測試環境測試SH 的KVstore狀態中。,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
DEP02移轉後服務確認 已確已確認服務正確，並再次執行健康檢查確認系統功能正常。,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
B部門 1.FISAC資料收容-進行中 目前已請B同事 向FISAC提交需使用API的IP申請單。,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
Splunk LDAP驗證設定 已完成splunk LDAP驗證設定,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
PA報表寄送異常檢查 已確認splunk有寄出報告並記錄於cim_modactions索引中，目前以請A同事向IT部門確認exchange是否有收到splunk報告。,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
"A人员, C人员为B客户进行维护",97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
A人员,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
C人员,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
B客户,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
A部门确认Maintainer账户权限,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
A部门,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
DEP02转移后服务确认,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
DEP02,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
已确认Splunk有寄出报告并记录于cim_modactions索引中，目前请A同事向IT部门确认exchange是否有收到Splunk报告,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
A同事,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
IT部门,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
B部门进行FISAC资料收容-进行中,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
B部门,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
请B同事向FISAC提交需使用API的IP申请单,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
B同事,97b76a2fd5faa59b6e3b3c7b21dc77960de1d8b001ea311ddf22cbaee9a796c1,Source
